,comp_1,comp_2,label,importance_score
190,68.634094,17.25628,0,-0.3376336505698508
191,68.92262,17.014439,0,-0.33667019151686056
192,68.957016,16.960276,0,-0.35060509928328043
193,69.00541,16.800804,0,-0.3594407237692398
194,68.95843,16.769382,0,-0.3634943014921866
195,70.738,14.835624,0,-0.37096698390318417
196,70.48065,14.436876,0,-0.3922805780754318
197,70.796234,14.348354,0,-0.40290212665961694
198,71.55857,13.814415,0,-0.42402772882152506
199,78.00283,7.1412306,0,-0.4763835037010927
200,77.80899,7.118861,0,-0.49312654212195983
201,78.41871,7.0310903,0,-0.4669839031841147
202,78.48274,7.0384073,0,-0.4616261308894372
203,79.48756,6.850601,0,-0.43894959464222766
204,79.51708,6.880277,0,-0.4374809070614499
205,72.83084,11.18917,0,-0.4356127364587005
206,69.483795,13.174992,0,-0.4277170720244389
207,69.649124,13.163667,0,-0.4161438138879098
208,69.75514,13.185778,0,-0.42204206321231347
209,70.04339,13.044126,1,-0.43006697215368345
210,68.559784,14.475521,1,-0.4322288802725884
211,67.93174,14.823152,1,-0.41264246269533544
212,68.23294,14.6873665,1,-0.4201033956056867
213,68.49629,14.618827,1,-0.4437433909058865
214,84.14903,-81.00997,1,-0.8593819762660087
215,105.556175,-25.075623,1,-0.7827282340500528
216,80.95627,82.059,1,-0.7529432499118787
217,111.04841,51.528675,1,-0.3304429561743626
218,111.37333,51.93603,0,-0.45909998825049936
219,76.990555,86.430756,0,-0.9314181647279989
220,112.6032,-13.825386,0,-0.9518505463517799
221,83.238144,-81.1558,1,-0.9607331688403242
222,75.03205,20.041325,1,-0.49051815297849843
223,75.06952,20.044497,1,-0.44273293385031137
224,75.08388,20.047182,1,-0.3842909176360005
225,75.055145,20.05476,1,-0.3076606744213371
226,64.33421,33.22277,1,-0.19513570673246386
227,64.34149,33.167126,1,-0.1990600399483022
228,64.332664,33.116413,1,-0.1854541181999765
229,64.38676,33.15987,1,-0.18987193044295617
230,64.52058,33.283543,1,-0.2008812125484667
231,64.31842,36.510643,1,-0.20081071554458935
232,64.25265,36.673367,1,-0.21525085183879683
233,64.2639,36.733402,1,-0.23761015156855836
234,64.31895,36.768646,1,-0.26892257079074144
235,71.5185,13.534464,0,-0.4127012101985666
236,71.67048,13.455717,0,-0.45448243449653386
237,74.92786,11.026897,0,-0.4840794266243685
238,75.21607,10.715291,0,-0.4907413934907766
239,77.25778,10.01622,0,-0.4953471977440959
240,77.4964,9.695804,0,-0.5020561626130889
241,77.47087,10.140637,0,-0.48406767712372223
242,77.50697,10.111155,0,-0.4777581952767007
243,77.579796,10.19733,0,-0.4617318763952532
244,83.114494,9.388304,0,-0.474973563623546
245,83.2128,9.331071,0,-0.4678651157325813
246,75.8134,15.490639,0,-0.4373164140524028
247,75.848816,15.387332,0,-0.43589472447420985
248,75.79882,15.390385,0,-0.4220655622136059
249,74.78864,15.74892,0,-0.39110562801080956
250,74.62939,15.720543,0,-0.39756785336623196
251,74.45891,15.855088,0,-0.40461755375396546
252,71.37913,18.748146,1,-0.3673011397015627
253,71.36144,18.778143,1,-0.36240159793208787
254,71.09741,19.104324,1,-0.3449535894724474
255,71.13704,19.558212,1,-0.34677476207261193
256,71.20893,19.708916,1,-0.34072376923980735
257,71.60772,20.198572,1,-0.32838679356127365
258,71.90391,20.526134,1,-0.3182234755022912
259,72.04335,20.654232,1,-0.294877217718247
260,72.18842,20.819056,1,-0.27854541181999765
261,73.540764,26.45501,0,-0.2637175420044648
262,73.53776,26.533504,0,-0.22761132651862295
263,73.46594,26.681274,0,-0.17992010339560568
264,74.09419,46.19159,1,-0.09443073669369052
265,73.8282,46.987164,1,-0.07927388086006344
266,73.62463,47.54935,1,-0.06781811772999646
267,73.06091,48.298233,1,-0.04134649277405711
268,73.061775,48.538624,1,-0.04747973211138529
269,58.22,48.08474,1,-0.070908236399953
270,57.081287,46.72082,1,-0.07738221125602161
271,56.8433,46.05128,1,-0.0998002584890142
272,55.431435,43.415398,1,-0.11344142873927858
273,70.053764,39.267708,0,-0.1393608271648455
274,70.01424,39.25493,0,-0.1514158148278698
275,69.97407,39.29012,0,-0.17422159558218778
276,69.98216,39.350403,0,-0.20220890612148984
277,63.754837,41.142006,0,-0.23114792621313596
278,63.625706,41.14097,0,-0.2529902479144636
279,63.685207,41.122227,0,-0.2721066854658677
280,63.712948,41.131176,0,-0.2958054282692985
281,75.88949,16.75981,0,-0.4010339560568676
282,75.95986,16.914007,0,-0.4329925978145929
283,76.23283,16.732637,0,-0.4370461755375396
284,76.61003,16.548826,0,-0.43098343320408883
285,76.67908,16.45505,0,-0.44501233697567855
286,76.73873,16.04919,0,-0.4653154740923511
287,76.75785,15.699979,0,-0.48500763717542006
288,76.9648,15.263394,0,-0.4909293855011162
289,77.055145,15.247061,0,-0.5159558218775702
290,76.925026,15.239871,0,-0.4776407002702385
291,77.08602,15.224497,0,-0.49427799318528964
292,85.36448,9.467427,0,-0.45389495946422276
293,85.16049,9.625417,0,-0.40680296087416284
